,City,Country,Lat,Lon,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
383,Kiunga,PG,-6.1219,141.2906,78.01,88.0,100.0,2.1
384,Belyy Yar,RU,53.6039,91.3903,42.69,70.0,0.0,15.66
385,Zhigansk,RU,66.7697,123.3711,39.49,61.0,100.0,7.72
386,Namatanai,PG,-3.6667,152.4333,84.63,68.0,100.0,4.41
387,Los Llanos de Aridane,ES,28.6585,-17.9182,69.55,78.0,75.0,9.22
388,Sysert',RU,56.4953,60.8192,31.98,94.0,6.0,3.42
389,Corpus Christi,US,27.8006,-97.3964,86.61,74.0,0.0,12.71
390,Lithakia,GR,37.7167,20.8333,69.17,77.0,5.0,1.88
391,Kualakapuas,ID,-3.0091,114.3876,82.56,79.0,100.0,3.71
392,Zhanakorgan,KZ,43.9098,67.2495,57.99,19.0,3.0,13.15
393,Caravelas,BR,-17.7125,-39.2481,71.71,85.0,3.0,4.45
394,Guerrero Negro,MX,27.9769,-114.0611,71.83,71.0,0.0,13.49
395,Conceição do Araguaia,BR,-8.2578,-49.2647,85.14,33.0,88.0,2.93
396,Karratha,AU,-20.7377,116.8463,84.51,23.0,93.0,29.66
397,Grakhovo,RU,56.0502,51.9676,36.36,82.0,100.0,8.99
398,Havøysund,NO,70.9963,24.6622,43.68,65.0,4.0,19.28
399,Ligayan,PH,4.6533,119.4706,81.39,77.0,100.0,7.96
400,Laguna,US,38.421,-121.4238,89.06,15.0,1.0,3.44
401,Flinders,AU,-34.5833,150.8552,61.88,49.0,30.0,22.32
402,Belmonte,BR,-15.8631,-38.8828,73.9,86.0,83.0,3.67
403,Hasaki,JP,35.7333,140.8333,75.6,62.0,99.0,7.76
404,Ocampo,MX,21.65,-101.5,60.98,79.0,100.0,4.03
405,Nānākuli,US,21.3906,-158.1547,82.35,64.0,99.0,16.44
406,Wajir,KE,1.7471,40.0573,73.92,67.0,0.0,13.44
407,Madimba,TZ,-10.4,40.3333,72.07,85.0,71.0,4.21
408,Rawson,AR,-43.3002,-65.1023,56.61,37.0,0.0,5.73
409,Abrau-Dyurso,RU,44.69,37.59,60.26,85.0,91.0,1.61
410,Yumen,CN,40.2833,97.2,67.5,29.0,95.0,15.37
411,Port-Cartier,CA,50.0334,-66.8654,48.42,91.0,6.0,1.16
412,Orgtrud,RU,56.1832,40.6149,40.15,93.0,100.0,14.56
413,Hattiesburg,US,31.3271,-89.2903,75.81,94.0,90.0,3.44
414,Guangzhou,CN,23.1167,113.25,87.75,58.0,18.0,2.39
415,Xining,CN,36.6167,101.7667,56.03,32.0,0.0,2.15
416,Sabang,ID,5.8933,95.3214,82.18,76.0,100.0,19.3
417,Aljezur,PT,37.3191,-8.8033,65.57,60.0,0.0,8.41
418,Ginda,IN,30.6945,78.4932,66.56,89.0,93.0,0.92
419,Humboldt,US,40.6665,-123.9178,54.72,54.0,1.0,1.57
420,Surab,PK,28.4914,66.2585,67.48,18.0,0.0,2.24
421,Puerto Cabezas,NI,14.0351,-83.3888,79.0,87.0,10.0,7.92
422,Gorin,RU,51.1983,136.6669,61.81,50.0,34.0,5.46
423,Seabra,BR,-12.4186,-41.7703,66.02,64.0,70.0,4.25
424,Dunedin,NZ,-45.8742,170.5036,52.09,80.0,100.0,4.74
425,Smithers,CA,54.7804,-127.1743,48.52,93.0,90.0,4.61
426,Bowen,AU,-20.0167,148.2333,84.42,44.0,49.0,4.07
427,Souillac,MU,-20.5167,57.5167,68.38,64.0,20.0,10.36
428,Alice Springs,AU,-23.7,133.8833,60.35,33.0,0.0,18.41
429,Calderitas,MX,18.55,-88.25,81.27,82.0,7.0,8.79
430,Karasburg,NA,-28.0167,18.75,47.52,57.0,0.0,9.84
431,Lakatoro,VU,-16.0999,167.4164,79.65,64.0,14.0,8.97
432,Xichang,CN,27.8964,102.2634,68.7,74.0,8.0,2.39
433,Petlāwad,IN,23.0,74.8,74.03,96.0,97.0,7.36
434,Güzelyurt,TR,38.2772,34.3719,54.39,41.0,0.0,7.11
435,Qinnan,CN,33.2531,119.9133,79.05,66.0,0.0,13.56
436,Kholmsk,RU,47.0511,142.0569,61.48,64.0,100.0,10.87
437,Arrondissement de Bastia,FR,42.6667,9.3333,63.73,55.0,0.0,5.75
438,Bugyi,HU,47.2275,19.1466,41.58,78.0,13.0,4.68
439,Bidor,MY,4.1139,101.2884,80.58,68.0,80.0,2.3
440,Dalbandin,PK,28.8947,64.4101,76.57,16.0,0.0,2.3
441,Kieta,PG,-6.2167,155.6333,81.77,74.0,98.0,4.32
442,Obama,JP,35.4958,135.746,79.39,57.0,0.0,8.77
443,Port-Gentil,GA,-0.7193,8.7815,76.84,84.0,97.0,12.21
444,Linguère,SN,15.3953,-15.1193,82.65,59.0,7.0,8.05
445,Acarí,PE,-15.4311,-74.6158,63.45,80.0,99.0,1.79
446,San-Pédro,CI,4.7485,-6.6363,75.07,94.0,42.0,5.1
447,Neira,CO,5.1665,-75.52,62.69,96.0,98.0,4.38
448,Jambi City,ID,-1.6,103.6167,83.93,68.0,32.0,4.63
449,Bonthe,SL,7.5264,-12.505,77.27,88.0,100.0,6.08
450,Half Moon Bay,US,37.4636,-122.4286,75.92,29.0,1.0,9.22
451,juifang,tw,,,,,,
452,Buncrana,IE,55.1333,-7.45,50.43,97.0,100.0,4.94
453,labutta,mm,,,,,,
454,Kuala Lipis,MY,4.1842,102.0468,83.53,64.0,84.0,0.63
455,Hornepayne,CA,49.2138,-84.7705,67.14,81.0,100.0,15.79
456,Camacha,PT,33.0833,-16.3333,69.22,64.0,40.0,11.5
457,Jizan,SA,17.3333,42.6667,86.94,78.0,10.0,4.12
458,Pedasí,PA,7.5333,-80.0333,80.2,79.0,99.0,1.88
459,Afuá,BR,-0.1567,-50.3867,75.9,93.0,94.0,6.08
460,Zhuanghe,CN,39.7008,122.9911,69.28,73.0,35.0,19.15
461,Totolapan,MX,18.5167,-96.1833,76.8,91.0,78.0,4.23
462,Leninsk,RU,48.7119,45.1994,51.66,82.0,93.0,3.11
463,Lebanon,US,36.2081,-86.2911,69.78,83.0,20.0,3.44
464,Summerville,US,33.0185,-80.1757,73.22,97.0,100.0,4.85
465,Kasongo-Lunda,CD,-6.4667,16.8167,77.65,56.0,73.0,3.09
466,Bonfim,BR,3.0833,-59.95,78.67,75.0,100.0,4.5
467,malwan,in,,,,,,
468,Forsytheganj,BY,52.6333,29.7333,40.26,96.0,100.0,10.2
469,Rørvik,NO,64.8621,11.2373,46.42,79.0,100.0,25.23
470,Hurghada,EG,27.2574,33.8129,86.04,25.0,0.0,12.66
471,Illela,NG,13.7292,5.2975,83.8,60.0,75.0,9.37
472,Pishin,PK,30.5803,66.9961,70.09,23.0,0.0,1.16
473,Kilimatinde,TZ,-5.85,34.95,64.89,74.0,0.0,4.61
474,East Brainerd,US,34.9959,-85.1502,69.57,88.0,75.0,4.61
475,North Canton,US,40.8759,-81.4023,71.82,83.0,100.0,7.81
476,Tanout,NE,14.9709,8.8879,87.4,17.0,74.0,7.58
477,Baruun-Urt,MN,46.6806,113.2792,58.6,66.0,92.0,3.76
478,La Santisima Trinidad,BO,-14.8333,-64.9,84.96,39.0,18.0,2.53
479,Cao Bang,VN,22.6667,106.25,85.68,66.0,10.0,1.03
480,Cayenne,GF,4.9333,-52.3333,77.04,94.0,0.0,1.14
481,Yatou,CN,37.15,122.3833,74.84,74.0,0.0,18.19
482,Puerto Maldonado,PE,-12.6,-69.1833,81.73,55.0,51.0,2.21
483,Grand Gaube,MU,-20.0064,57.6608,68.4,67.0,65.0,20.38
484,Siuna,NI,13.7332,-84.7773,72.52,96.0,27.0,2.3
485,Uyar,RU,55.81,94.3153,41.11,69.0,56.0,14.23
486,Nalbari,IN,26.4456,91.4354,82.38,86.0,61.0,3.24
487,Inverness,GB,57.4791,-4.224,53.51,76.0,20.0,10.36
488,Kanniyākumāri,IN,8.0833,77.5667,80.49,82.0,98.0,15.46
489,Deloraine,AU,-41.5333,146.6667,50.79,47.0,100.0,5.23
490,mudyuga,ru,,,,,,
491,Nizhniy Kuranakh,RU,58.8353,125.4869,48.33,64.0,1.0,5.35
492,Yārāda,IN,17.65,83.2667,80.92,100.0,90.0,2.3
493,Alenquer,BR,-1.9417,-54.7383,77.34,71.0,58.0,2.62
494,Oussouye,SN,12.485,-16.5469,80.78,88.0,2.0,5.97
495,New Plymouth,NZ,-39.0667,174.0833,57.43,72.0,42.0,11.34
496,Kysyl-Syr,RU,63.8986,122.7617,42.71,58.0,94.0,7.09
497,Makkah al Mukarramah,SA,21.4267,39.8261,91.38,14.0,9.0,7.16
498,Zhangaözen,KZ,43.3,52.8,64.63,20.0,99.0,12.68
499,San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,62.96,71.0,98.0,5.14
500,Kralendijk,BQ,12.15,-68.2667,83.01,77.0,82.0,17.69
501,Eyl,SO,7.9803,49.8164,76.08,81.0,20.0,15.37
502,Tomatlán,MX,19.9333,-105.25,75.47,93.0,33.0,1.74
503,Payo,ID,-3.7508,103.6372,75.58,93.0,97.0,0.2
504,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,43.0,0.0,8.05
505,Kodinsk,RU,58.6881,99.1844,41.7,76.0,33.0,8.14
506,Molchanovo,RU,57.5817,83.7692,36.1,98.0,100.0,8.99
507,Winnemucca,US,40.973,-117.7357,60.24,23.0,1.0,6.15
508,Paragominas,BR,-2.9667,-47.4833,72.84,91.0,51.0,4.43
509,Bixby,US,35.942,-95.8833,87.6,39.0,29.0,7.49
510,Timaru,NZ,-44.4,171.25,61.32,61.0,100.0,9.75
511,viligili,mv,,,,,,
512,Bariloche,AR,-41.1456,-71.3082,42.55,45.0,0.0,5.75
513,Kalispell,US,48.1958,-114.3129,51.73,56.0,95.0,5.37
514,Jalu,LY,29.0331,21.5482,82.26,25.0,0.0,7.09
515,Vanimo,PG,-2.6741,141.3028,86.11,65.0,100.0,5.3
516,Manicoré,BR,-5.8092,-61.3003,77.74,72.0,43.0,3.44
517,Lingao,CN,19.9103,109.6859,85.33,67.0,9.0,3.49
518,Mēga,ET,4.05,38.3,58.26,70.0,24.0,15.57
519,Kharp,RU,66.8014,65.8081,37.31,97.0,100.0,6.49
520,fevralsk,ru,,,,,,
521,Tucumcari,US,35.1717,-103.725,72.39,33.0,0.0,9.69
522,Jiuquan,CN,39.7432,98.5174,72.18,17.0,98.0,3.56
523,Province of Mantua,IT,45.1667,10.7833,61.41,80.0,57.0,11.01
524,Monrovia,LR,6.3005,-10.7969,77.22,88.0,100.0,4.63
525,Eureka,US,40.8021,-124.1637,63.79,77.0,1.0,1.92
526,Muhafazat Lahij,YE,13.1667,44.5833,80.46,77.0,7.0,4.63
527,Yulara,AU,-25.2406,130.9889,58.84,33.0,6.0,17.27
528,Kastamonu Province,TR,41.5,33.6667,57.22,68.0,16.0,3.0
529,Viedma,AR,-40.8135,-62.9967,46.35,54.0,0.0,8.03
530,Pandan,PH,14.0453,124.1694,85.26,70.0,99.0,3.87
531,Yangi Marg`ilon,UZ,40.4272,71.7189,61.48,51.0,0.0,4.61
532,Port Macquarie,AU,-31.4333,152.9167,62.56,41.0,60.0,17.94
533,Verkhnevilyuysk,RU,63.4453,120.3167,43.39,52.0,94.0,9.33
534,Örnsköldsvik,SE,63.2909,18.7153,40.15,93.0,90.0,0.0
535,Derzhavīnsk,KZ,51.1,66.3167,35.73,68.0,6.0,7.49
536,Sandakan,MY,5.8402,118.1179,78.48,89.0,20.0,5.75
537,karkaralinsk,kz,,,,,,
538,Carson City,US,39.1638,-119.7674,68.34,14.0,1.0,16.11
539,Butembo,CD,0.15,29.2833,56.68,92.0,77.0,2.51
540,Mashhad,IR,36.297,59.6062,59.14,55.0,0.0,0.0
541,marcona,pe,,,,,,
542,Luanda,AO,-8.8368,13.2343,73.4,83.0,75.0,9.22
543,el faiyum,eg,,,,,,
544,Marzuq,YE,14.4,46.4667,75.61,65.0,94.0,4.85
545,Dauphin,CA,51.1494,-100.0502,57.34,58.0,75.0,9.22
546,Ţahţā,EG,26.7693,31.5021,84.52,31.0,0.0,9.42
547,Iberia,US,29.9502,-91.7507,78.78,88.0,5.0,5.99
548,Monino,RU,55.8381,38.1944,42.53,96.0,100.0,12.91
549,Nome,US,64.5011,-165.4064,38.7,50.0,97.0,15.97
550,Magliman,PH,15.0337,120.6651,86.05,69.0,63.0,4.5
551,Hillsborough,US,37.5741,-122.3794,77.18,28.0,1.0,9.22
552,Houma,US,29.5958,-90.7195,78.8,89.0,2.0,4.81
553,Nushki,PK,29.5542,66.0215,72.75,15.0,0.0,2.62
554,Duncan,US,34.5023,-97.9578,85.89,42.0,1.0,6.91
555,rostaq,af,,,,,,
556,Talnakh,RU,69.4865,88.3972,34.21,75.0,100.0,2.26
557,Thongwa,MM,16.7619,96.5278,77.16,90.0,100.0,4.88
558,Arrondissement de Saint-Denis,FR,48.9167,2.3333,54.43,89.0,75.0,6.91
559,braslav,by,,,,,,
560,Zahnitkiv,UA,48.0446,28.8958,44.62,73.0,100.0,13.4
561,Beyneu,KZ,45.3167,55.2,60.15,40.0,100.0,12.57
562,Kanganpur,PK,30.7663,74.1231,83.1,70.0,6.0,5.28
563,Santa Fe,AR,-31.6333,-60.7,60.71,71.0,81.0,12.17
564,Nokaneng,BW,-19.6667,22.2667,69.69,27.0,2.0,8.16
565,ruatoria,nz,,,,,,
566,Lüderitz,NA,-26.6481,15.1594,57.96,57.0,0.0,13.18
567,Linhares,BR,-19.3911,-40.0722,68.25,88.0,0.0,1.54
568,Lençóis Paulista,BR,-22.5986,-48.8003,91.89,34.0,100.0,4.16
569,Terney,RU,45.0503,136.6092,61.47,66.0,100.0,2.53
570,Lodeynoye Pole,RU,60.726,33.5531,34.9,86.0,100.0,7.65
571,Cockburn Town,TC,21.4612,-71.1419,83.03,79.0,83.0,18.84
572,jahrom,ir,,,,,,
573,Ostashkov,RU,57.1467,33.1075,36.88,98.0,100.0,10.29
574,Sur,OM,22.5667,59.5289,83.75,68.0,3.0,6.42
